id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1173029,Dublin Central secure WIFI free parking,3448346,Ian,,Dublin City,53.352404021347596,-6.279808133700271,Entire home/apt,143,3,203,2018-10-09,5.00,2,52
1207950,Large Prime South Dublin House,6593571,Dave & Ann,,Dn Laoghaire-Rathdown,53.28315096618506,-6.246467861664149,Entire home/apt,230,5,51,2018-09-23,0.80,1,154
1213626,"Short, Long Term in Friendly House",2861490,Barbara,,Dublin City,53.31356450270215,-6.29692022442313,Private room,30,3,76,2018-09-30,1.17,3,13
1244710,NEW° Modern Design Apartment - Fully Equiped,5605429,Eddy,,Dublin City,53.353518306335545,-6.250161521035677,Entire home/apt,122,1,65,2018-09-02,1.03,4,0
1245040,A HIDDEN GEM IN BALLSBRIDGE,1667540,Ann,,Dublin City,53.33698954345637,-6.238273049030147,Entire home/apt,140,4,138,2018-09-13,2.49,1,131
1265520,Wonderful Two Bed House Near City,2202699,Maeve,,Dublin City,53.367767843886,-6.271721098249307,Entire home/apt,110,2,30,2017-12-30,0.47,1,14
1270261,Old Country house,474328,James,,Fingal,53.56547662688818,-6.316165653633923,Private room,70,1,5,2017-09-11,0.10,1,328
1276002,City Centre HOME by the Liffey w outdoor Patio,6938108,Caroline,,Dublin City,53.351903722582904,-6.2339570671620645,Entire home/apt,300,2,50,2018-06-26,0.86,1,351
1289697,"Riverside relaxation, great location.",2061662,John And Diana,,South Dublin,53.303630446974005,-6.276304745036052,Entire home/apt,130,5,8,2018-08-07,0.13,1,225
1290506,Bright double bedroom with your own large bathroom,7017423,Bernadine,,South Dublin,53.355567873677025,-6.371591228443093,Private room,50,3,32,2018-09-16,0.78,2,320
1296492,"Charming & clean - Dublin, Aviva",4580868,Bren & Fer,,Dublin City,53.33837144502324,-6.224110064390375,Private room,48,2,54,2017-12-20,0.89,1,0
1297124,A spacious house beside the sea,7052323,Geraldine,,Dn Laoghaire-Rathdown,53.23498936651574,-6.113089632196686,Private room,57,14,0,,,1,365
1315528,"Dublin Airport, We'll pick you up!",5051470,Des & Sinead,,Fingal,53.441362385301936,-6.203263101374308,Private room,40,1,221,2018-10-07,3.47,4,340
1322440,Fab rooms for long and short stay,7202989,Gillian,,Dublin City,53.382227733832686,-6.22898974018756,Shared room,22,4,1,2017-03-19,0.05,1,0
1325854,LOCATION LOCATION CITY CENTRE,7195921,Simon,,Dublin City,53.348898241289376,-6.2410333768207185,Private room,80,2,175,2018-10-14,2.74,1,267
1332458,City centre historic house up to 20 Guests,7169837,Nicole,,Dublin City,53.35362191827914,-6.2708632226698064,Entire home/apt,799,2,154,2018-09-24,2.42,1,276
